Full Name,File Name,Line No.
abcsFrederick/yliu_utilities,summit\20200323\cd4.py,87,Unet
abcsFrederick/yliu_utilities,summit\20200323\cd4.py,91,Unet
abcsFrederick/yliu_utilities,summit\20200323\cd4.py,95,Unet
abcsFrederick/yliu_utilities,summit\20200323\cd4.py,99,Unet
abcsFrederick/yliu_utilities,summit\20200323\cd4.py,104,Unet
aHorvathBazsi/Breast_cancer_segmentation_U-net-Tensorflow,model.py,56,Unet
aHorvathBazsi/Breast_cancer_segmentation_U-net-Tensorflow,model.py,62,Unet
aHorvathBazsi/Breast_cancer_segmentation_U-net-Tensorflow,model.py,68,Unet
aHorvathBazsi/Breast_cancer_segmentation_U-net-Tensorflow,model.py,74,Unet
aHorvathBazsi/Breast_cancer_segmentation_U-net-Tensorflow,model.py,78,Unet
ahy69195/Sartorius-DataScience2,Resources\Demos\U-Net Demo - TensorFlow\Segment.py,87,Unet
ahy69195/Sartorius-DataScience2,Resources\Demos\U-Net Demo - TensorFlow\Segment.py,93,Unet
ahy69195/Sartorius-DataScience2,Resources\Demos\U-Net Demo - TensorFlow\Segment.py,99,Unet
ahy69195/Sartorius-DataScience2,Resources\Demos\U-Net Demo - TensorFlow\Segment.py,105,Unet
ahy69195/Sartorius-DataScience2,Resources\Demos\U-Net Demo - TensorFlow\Segment.py,109,Unet
AkashSanthosh36/Convolutional-Neural-Network,CNN\cnn_tensorflow\Alexnet_mnist_keras\Run.py,43,Alexnet
akreho1/masterthesis-repo,model_multitask.py,75,Unet
akreho1/masterthesis-repo,model_multitask.py,81,Unet
akreho1/masterthesis-repo,model_multitask.py,87,Unet
akreho1/masterthesis-repo,model_multitask.py,93,Unet
akreho1/masterthesis-repo,model_multitask.py,97,Unet
akreho1/masterthesis-repo,model_multitask.py,153,Unet
akreho1/masterthesis-repo,model_multitask.py,159,Unet
akreho1/masterthesis-repo,model_multitask.py,165,Unet
akreho1/masterthesis-repo,model_multitask.py,171,Unet
akreho1/masterthesis-repo,model_multitask.py,175,Unet
akreho1/masterthesis-repo,model_multitask.py,231,Unet
akreho1/masterthesis-repo,model_multitask.py,237,Unet
akreho1/masterthesis-repo,model_multitask.py,243,Unet
akreho1/masterthesis-repo,model_multitask.py,249,Unet
akreho1/masterthesis-repo,model_multitask.py,253,Unet
akreho1/masterthesis-repo,model_multitask.py,310,Unet
akreho1/masterthesis-repo,model_multitask.py,316,Unet
akreho1/masterthesis-repo,model_multitask.py,322,Unet
akreho1/masterthesis-repo,model_multitask.py,328,Unet
akreho1/masterthesis-repo,model_multitask.py,332,Unet
akreho1/masterthesis-repo,model_multitask.py,388,Unet
akreho1/masterthesis-repo,model_multitask.py,394,Unet
akreho1/masterthesis-repo,model_multitask.py,400,Unet
akreho1/masterthesis-repo,model_multitask.py,406,Unet
akreho1/masterthesis-repo,model_multitask.py,410,Unet
akreho1/masterthesis-repo,model_multitask.py,466,Unet
akreho1/masterthesis-repo,model_multitask.py,472,Unet
akreho1/masterthesis-repo,model_multitask.py,478,Unet
akreho1/masterthesis-repo,model_multitask.py,484,Unet
akreho1/masterthesis-repo,model_multitask.py,488,Unet
AngeLouCN/CFPNet-Medicine,network\UNet.py,55,Unet
AngeLouCN/CFPNet-Medicine,network\UNet.py,61,Unet
AngeLouCN/CFPNet-Medicine,network\UNet.py,67,Unet
AngeLouCN/CFPNet-Medicine,network\UNet.py,73,Unet
AngeLouCN/CFPNet-Medicine,network\UNet.py,74,Unet
AngeLouCN/CFPNet-Medicine,network\UNet.py,75,Unet
AnshThakur/CNN_baselines,MS_CNN.py,76
AnshThakur/CNN_baselines,MS_CNN.py,83
AnshThakur/CNN_baselines,MS_CNN.py,88
AnshThakur/CNN_baselines,MS_CNN.py,100
AnshThakur/CNN_baselines,MS_CNN.py,107
AnshThakur/CNN_baselines,MS_CNN.py,112
AnshThakur/CNN_baselines,MS_CNN.py,126
AnshThakur/CNN_baselines,MS_CNN.py,133
AnshThakur/CNN_baselines,MS_CNN.py,138
AnshThakur/CNN_baselines,MS_CNN.py,150
AnshThakur/CNN_baselines,MS_CNN.py,157
AnshThakur/CNN_baselines,MS_CNN.py,162
appstud/appstud-glens-backend,training_glens\hairColorClassification\src\models\model.py,259
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,54,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,55,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,57,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,59,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,61,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,88,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,90,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,92,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,94,Unet
arjunjanamatti/video_classification,deep_zipper\ConvNet_Rec.py,96,Unet
ATai2/pythondemo,tensorflow\15-CycleGAN\model.py,180
bartosztkowalski/retinal-vessels-detector,UNetModel.py,37,Unet
bartosztkowalski/retinal-vessels-detector,UNetModel.py,43,Unet
bartosztkowalski/retinal-vessels-detector,UNetModel.py,49,Unet
bartosztkowalski/retinal-vessels-detector,UNetModel.py,55,Unet
bartosztkowalski/retinal-vessels-detector,UNetModel.py,59,Unet
CatchZeng/YiAI-examples,papers\AlexNet\AlexNet.py,116,Alexnet
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,24,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,27,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,39,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,44,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,54,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,58,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,70,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,74,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,90,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,106,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,118,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,122,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,137,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,141,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,153,Inception
chenzhen2018/tf_learning,models\cnn\inceptionV1.py,157,Inception
ChewKinWhye/nanoVAE,utils\model.py,88
ChewKinWhye/nanoVAE,utils\model.py,117
ChewKinWhye/nanoVAE,utils\model.py,181
ChewKinWhye/nanoVAE,utils\model.py,227
ClaireGiraud/Root_imaging_M2project,04.2D-U-net\model.py,56,Unet
ClaireGiraud/Root_imaging_M2project,04.2D-U-net\model.py,61,Unet
ClaireGiraud/Root_imaging_M2project,04.2D-U-net\model.py,66,Unet
ClaireGiraud/Root_imaging_M2project,04.2D-U-net\model.py,71,Unet
ClaireGiraud/Root_imaging_M2project,04.2D-U-net\model.py,75,Unet
ClaireGiraud/Root_imaging_M2project,04.2D-U-net\model.py,76,Unet
cryptogeekk/Data_Poisoning_Attack-Federated-Learning-,utils.py,42,Bug
cxan96/license_plate_detection,src\license_plate_extraction\models.py,44
cxan96/license_plate_detection,src\license_plate_extraction\models.py,45
cxan96/license_plate_detection,src\license_plate_extraction\models.py,46
cxan96/license_plate_detection,src\license_plate_extraction\models.py,73
cxan96/license_plate_detection,src\license_plate_extraction\models.py,75
cxan96/license_plate_detection,src\license_plate_extraction\models.py,141
cxan96/license_plate_detection,src\license_plate_extraction\models.py,142
cxan96/license_plate_detection,src\license_plate_extraction\models.py,164,Unet
cxan96/license_plate_detection,src\license_plate_extraction\models.py,166,Unet
cxan96/license_plate_detection,src\license_plate_extraction\models.py,168,Unet
cxan96/license_plate_detection,src\license_plate_extraction\models.py,170,Unet
cxan96/license_plate_detection,src\license_plate_extraction\models.py,171,Unet
cyuan-sjtu/hybrid-learning-feature-fusion,modelIL.py,62
cyuan-sjtu/hybrid-learning-feature-fusion,modelIL.py,63
cyuan-sjtu/hybrid-learning-feature-fusion,modelMB.py,80
cyuan-sjtu/hybrid-learning-feature-fusion,modelMB.py,81
cyuan-sjtu/hybrid-learning-feature-fusion,modelMC.py,64
cyuan-sjtu/hybrid-learning-feature-fusion,modelMC.py,65
D1VORY/finger_net,src\model.py,28
deekret/Assignment_4,Assignment_4\Assignment_4\models.py,45
dpwivagg/age-guesser,pretrained.py,52
ekote/computer-vision-for-biomedical-images-processing,unet-tf2-keras.py,34,Unet
ekote/computer-vision-for-biomedical-images-processing,unet-tf2-keras.py,40,Unet
ekote/computer-vision-for-biomedical-images-processing,unet-tf2-keras.py,46,Unet
ekote/computer-vision-for-biomedical-images-processing,unet-tf2-keras.py,52,Unet
ekote/computer-vision-for-biomedical-images-processing,unet-tf2-keras.py,56,Unet
esmerin/inbetween_colorization,model.py,59
esmerin/inbetween_colorization,model.py,61
esmerin/inbetween_colorization,model.py,64
Fakhre-Alam-Hub/Leaf-Disease-Segmentation,unet.py,36,Unet
Fakhre-Alam-Hub/Leaf-Disease-Segmentation,unet.py,42,Unet
Fakhre-Alam-Hub/Leaf-Disease-Segmentation,unet.py,48,Unet
Fakhre-Alam-Hub/Leaf-Disease-Segmentation,unet.py,54,Unet
Fakhre-Alam-Hub/Leaf-Disease-Segmentation,unet.py,58,Unet
hariharan98m/earthquake_assessment,only_train.py,91
hariharan98m/earthquake_assessment,only_train.py,101
hariharan98m/earthquake_assessment,only_train.py,108
hariharan98m/earthquake_assessment,only_train.py,113
hariharan98m/earthquake_assessment,residual(1).py,107
hariharan98m/earthquake_assessment,residual(1).py,120
hariharan98m/earthquake_assessment,residual(1).py,127
hariharan98m/earthquake_assessment,residual(1).py,132
hongzio/faster-rcnn-tf2,frcnn\backbone\vgg.py,29
huynguyenbao/Practical-Deep-Raw-Image-Denoising-on-Mobile-Devices,model.py,121,Conflict with assumption
jainsee24/Image-Segmentation-using-python,model.py,33,Unet
jainsee24/Image-Segmentation-using-python,model.py,38,Unet
jainsee24/Image-Segmentation-using-python,model.py,43,Unet
jainsee24/Image-Segmentation-using-python,model.py,48,Unet
jainsee24/Image-Segmentation-using-python,model.py,52,Unet
jainsee24/Image-Segmentation-using-python,model.py,53,Unet
jason-zl190/sisr,trainer\models\sisr\models.py,70
jason9693/cycleGAN-tensorflow-v2,Network\cycleGAN.py,130
jason9693/cycleGAN-tensorflow-v2,Network\cycleGAN.py,356
jinay1991/spleeter,scripts\unet.py,119,Conflict with assumption
jinay1991/spleeter,scripts\unet.py,315,Conflict with assumption
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest.py,115,Decode
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest.py,121,Decode
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest.py,127,Decode
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest_MSESSIMMAEloss.py,169,Decode
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest_MSESSIMMAEloss.py,175,Decode
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest_MSESSIMMAEloss.py,181,Decode
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest_multiRes.py,89,Decode
